mid_date, v [m/yr], satellite, dt (days)
2022-07-14T20:50:29.000Z,617, Sentinel 2, 40 
2019-07-05T20:50:24.000Z,558, Sentinel 2, 130 
2022-08-13T20:51:36.000Z,421, Sentinel 2, 90 
2018-10-15T20:44:19.000Z,459, Sentinel 2, 30 
2018-01-03T20:44:54.000Z,262, Sentinel 2, 120 
2002-04-01T20:13:34.177Z,598, Landsat 7, 32 
2019-10-08T08:43:40.000Z,410, Sentinel 2, 65 
2018-03-15T08:54:05.000Z,328, Sentinel 2, 105 
2019-04-16T08:43:40.000Z,621, Sentinel 2, 145 
2019-05-19T08:50:25.000Z,790, Sentinel 2, 85 
2021-09-02T08:40:55.000Z,98, Sentinel 2, 35 
2020-04-17T20:40:49.000Z,749, Sentinel 2, 50 
2019-09-15T20:42:59.000Z,271, Sentinel 2, 80 
2021-12-11T20:53:06.000Z,418, Sentinel 2, 160 
2018-05-01T20:50:19.000Z,515, Sentinel 2, 30 
2017-12-29T20:41:41.000Z,251, Sentinel 2, 180 
2002-03-22T20:25:54.889Z,714, Landsat 7, 112 
2018-09-02T20:35:18.698Z,263, Landsat 7, 32 
2016-08-06T20:44:55.000Z,322, Sentinel 2, 160 
2022-09-27T20:54:21.000Z,251, Sentinel 2, 120 
2013-05-04T08:29:54.729Z,901, Landsat 7, 87 
2003-03-18T20:19:39.847Z,377, Landsat 7, 48 
2022-06-15T15:48:58.893Z,939, Sentinel 1, 12 
2005-06-07T08:23:33.025Z,1192, Landsat 7, 39 
2010-06-17T20:23:09.219Z,602, Landsat 7, 96 
2012-09-26T20:26:30.288Z,448, Landsat 7, 32 
2018-05-14T08:52:20.000Z,502, Sentinel 2, 155 
2018-09-16T08:51:05.000Z,118, Sentinel 2, 15 
2022-03-29T08:52:15.000Z,785, Sentinel 2, 55 
2018-10-06T08:53:15.000Z,318, Sentinel 2, 45 
2019-11-19T20:43:34.000Z,357, Sentinel 2, 150 
2003-04-28T20:13:31.291Z,685, Landsat 7, 16 
2009-08-22T08:18:04.526Z,288, Landsat 7, 55 
2013-08-04T20:26:12.994Z,479, Landsat 7, 16 
2019-06-25T20:50:29.000Z,622, Sentinel 2, 110 
2002-06-10T20:25:36.479Z,976, Landsat 7, 112 
2016-08-28T20:33:37.367Z,195, Landsat 7, 80 
2015-04-20T20:30:09.487Z,521, Landsat 7, 80 
2001-12-30T08:16:33.982Z,605, Landsat 7, 71 
2018-01-08T20:45:19.000Z,261, Sentinel 2, 110 
2021-08-23T08:40:20.000Z,202, Sentinel 2, 15 
2020-07-09T08:40:20.000Z,2733, Sentinel 2, 15 
2022-04-20T20:50:19.000Z,888, Sentinel 2, 50 
2018-06-18T08:50:15.000Z,492, Sentinel 2, 155 
2018-08-11T20:23:21.023Z,348, Landsat 7, 80 
2019-06-13T08:50:25.000Z,620, Sentinel 2, 135 
